Región,Comuna,Latitude,Longitude,Razón social,Nombre de Establecimiento,Rubro,ID Establecimiento,Generación Residuos Peligrosos ton/año (2016),Emisión al aire año ton/año (2016),Emisión CO2 ton/año (2016),Emisión NOX ton/año (2016),Emisión SO2 ton/año (2016),"Emisión MP2,5 ton/año (2016)",Emisión MP 10 ton/año (2016),Generación de residuos no peligrosos ton/año 2016,Destinatario de residuos no peligrosos ton/año (2016)
Araucanía,Temuco,-38.72119523,-72.5714164,GESTION ECOLOGICA DE RESIDUOS S A,GESTION ECOLOGICA DE RESIDUOS SA,Gestor de residuos,5453772,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.72112655,-72.57157974,COMERCIAL E INVERSIONES AISLACENTRO LIMITADA,AISLACENTRO TEMUCO,0,5471400,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.72111611,-72.57151108,METALES S.A.,METALES SA,Otras actividades,5467590,493.28,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.72018898,-72.56895475,COMERCIAL PIO NONO LTDA,COMERCIAL PIONONO,Comercio,5469266,-,-,-,-,-,-,-,-,-
Araucanía,Carahue,-38.72015115,-73.17041601,AGUAS ARAUCANIA S.A.,PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS - CARAHUE,Gestor de residuos,5401797,-,12.86668656,12.86668656,0,0,0,0,33.5,-
Araucanía,Temuco,-38.72008873,-72.57149987,I MUNICIPALIDAD DE TEMUCO,CESFAM PUEBLO NUEVO,Otras actividades,5469326,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.71992917,-72.56383414,I MUNICIPALIDAD DE TEMUCO,ESCUELA ALONSO DE ERCILLA,Otras actividades,5459324,-,-,-,-,-,-,-,-,-
Araucanía,Carahue,-38.7198176,-73.15321766,AGUAS ARAUCANIA S.A.,RECINTO SONDAJE DE AGUA POTABLE - CARAHUE,Gestor de residuos,5401878,-,82.450368,82.450368,0,0,0,0,-,-
Araucanía,Temuco,-38.7196967,-72.56694728,COMERCIALIZADORA DE NEUMATICOS BACON LIMITADA,COMERCIALIZADORA DE NEUMATICOS BACON LTDA,0,5472626,-,-,-,-,-,-,-,-,-
Araucanía,Temuco,-38.71954836,-72.5680449,UNIVERSIDAD AUTONOMA DE CHILE,UNIVERSIDAD AUTONOMA DE CHILE,Construcción e inmobiliarias,5465763,-,299.81952,299.81952,0,0,0,0,-,-
Araucanía,Temuco,-38.71940071,-72.56787739,ADMINISTRADORA DE VENTAS AL DETALLE LIMITADA,RUDECINDO ORTEGA,Combustibles,5469207,-,-,-,-,-,-,-,-,-
